TURNO,NOTE,NOTIFICA
07:00-13:00,WR@07:00,05:50
07:30-13:30,WR@07:30,06:20
08:00-14:00,WR@08:00,06:50
08:30-14:30,WR@08:30,07:20
09:00-15:00,WR@09:00,07:50
09:30-15:30,WR@09:30 ! P.pranzo,08:20
10:00-16:00,WR@10:00 ! P.pranzo,08:50
10:30-16:30,WR@10:30 ! P.pranzo,09:20
11:00-17:00,WR@11:00 ! P.pranzo,09:50
11:30-17:30,WR@11:30 ! P.pranzo,10:20
12:00-18:00,WR@12:00 ! P.pranzo,11:10
12:30-18:30,WR@12:30 ! P.pranzo,11:55
13:00-19:00,WR@13:00,12:25
13:30-19:30,WR@13:30,12:55
14:00-20:00,WR@14:00,13:25
14:30-20:30,WR@14:30,13:55
15:00-21:00,WR@15:00 ! P.cena,14:25
15:30-21:30,WR@15:30 ! P.cena,14:55
16:00-22:00,WR@16:00 ! P.cena,15:25
16:30-22:30,WR@16:30 ! P.cena,15:55
17:00-23:00,WR@17:00 ! P.cena,16:25
17:30-23:30,WR@17:30 ! P.cena,16:55
