TURNO,NOTE,NOTIFICA,SVEGLIA SI/NO
07:00-13:00,Lavoro@07:00,05:50,SI
07:30-13:30,Lavoro@07:30,06:20,no
08:00-14:00,Lavoro@08:00,06:50,no
08:30-14:30,Lavoro@08:30,07:20,no
09:00-15:00,Lavoro@09:00,07:50,no
09:30-15:30,Lavoro@09:30 P.Pranzo,08:20,no
10:00-16:00,Lavoro@10:00 P.Pranzo,08:50,no
10:30-16:30,Lavoro@10:30 P.Pranzo,09:20,no
11:00-17:00,Lavoro@11:00 P.Pranzo,09:50,no
11:30-17:30,Lavoro@11:30 P.Pranzo,10:20,no
12:00-18:00,Lavoro@12:00 P.Pranzo,11:10,no
12:30-18:30,Lavoro@12:30 P.Pranzo,11:55,SI
13:00-19:00,Lavoro@13:00,12:25,SI
13:30-19:30,Lavoro@13:30,12:55,SI
14:00-20:00,Lavoro@14:00,13:25,SI
14:30-20:30,Lavoro@14:30,13:55,SI
15:00-21:00,Lavoro@15:00 P.Cena,14:25,SI
15:30-21:30,Lavoro@15:30 P.Cena,14:55,SI
16:00-22:00,Lavoro@16:00 P.Cena,15:25,SI
16:30-22:30,Lavoro@16:30 P.Cena,15:55,SI
17:00-23:00,Lavoro@17:00 P.Cena,16:25,SI
17:30-23:30,Lavoro@17:30 P.Cena,16:55,SI
